symbol,ltp,change,Hight,low,open,qty,pclose,diff
ACLBSL,917.00,-0.33,930.00,916.10,920.00,393,920.00,-3
ADBL,307.90,-0.29,309.00,304.00,309.00,"45,973",308.80,-0.9
ADBLD83,"1,023.60",-0.04,"1,023.60","1,023.60","1,023.60",25,"1,024.00",-0.4
AHL,414.00,0.22,417.50,413.00,413.00,"2,712",413.10,0.9
AHPC,265.90,-0.78,268.90,265.00,268.80,"37,465",268.00,-2.1
AKJCL,362.10,-3.18,392.70,361.20,392.70,"322,090",374.00,-11.9
AKPL,256.60,-0.54,259.60,256.10,256.10,"40,985",258.00,-1.4
ALBSL,"1,091.00",0.55,"1,110.90","1,050.00","1,050.00","3,178","1,085.00",6
ALICL,422.00,-0.66,424.80,420.80,424.80,"5,448",424.80,-2.8
ANLB,"5,999.00",8.6,"5,999.00","5,300.00","5,360.00","5,041","5,524.00",475
APHL,828.00,0,834.90,824.00,825.80,"10,060",828.00,0
API,330.00,-0.57,332.30,328.20,331.00,"82,236",331.90,-1.9
AVYAN,"1,053.00",1.06,"1,070.00","1,036.00","1,036.00","6,060","1,042.00",11
BANDIPUR,692.00,-0.72,701.00,675.00,695.00,"34,855",697.00,-5
BARUN,321.20,-0.46,323.00,319.10,321.10,"16,558",322.70,-1.5
BBC,"4,289.00",0.26,"4,296.00","4,176.00","4,208.00",100,"4,278.00",11
BEDC,323.00,0.31,325.00,320.00,321.60,"14,378",322.00,1
BFC,494.00,-1.59,504.00,492.00,502.00,"30,161",502.00,-8
BGWT,556.00,-0.18,558.00,542.00,542.00,501,557.00,-1
BHCL,489.00,-1.01,497.00,486.00,486.00,"16,680",494.00,-5
BHDC,426.00,-0.81,430.00,425.10,426.00,"8,716",429.50,-3.5
BHL,208.90,-0.52,210.00,208.00,210.00,"44,962",210.00,-1.1
BHPL,497.00,-0.4,523.00,480.00,523.00,"7,298",499.00,-2
BJHL,694.00,-1.42,700.00,683.40,700.00,"4,666",704.00,-10
BNHC,286.20,-1.65,297.60,285.50,297.60,"28,624",291.00,-4.8
BNT,"11,645.00",0.3,"11,645.00","11,645.00","11,645.00",10,"11,610.00",35
BOKD86KA,"1,111.10",-2.99,"1,111.10","1,111.10","1,111.10",50,"1,145.40",-34.3
BPCL,650.00,-0.46,651.50,646.00,648.00,"3,243",653.00,-3
BUNGAL,584.80,-0.05,588.20,556.00,556.00,"12,856",585.10,-0.3
CBBL,929.00,-0.1,934.90,929.00,929.90,"7,453",929.90,-0.9
CBLD88,"1,230.00",6.96,"1,162.00","1,162.00","1,162.00","8,040","1,150.00",80
CFCL,660.00,-2.22,675.00,642.00,642.00,"45,130",675.00,-15
CGH,785.10,0.87,799.00,778.00,778.00,"60,218",778.30,6.8
CHCL,486.00,-1.22,493.70,485.10,493.70,"6,116",492.00,-6
CHDC,"2,200.00",-0.81,"2,215.00","2,191.10","2,207.00","7,774","2,218.00",-18
CHL,268.00,-0.74,269.80,258.00,265.00,"23,013",270.00,-2
CIT,"1,709.90",-0.01,"1,719.00","1,706.00","1,719.00","5,291","1,710.00",-0.1
CITY,371.00,-0.8,375.90,356.00,356.00,"100,371",374.00,-3
CKHL,584.00,1,585.00,561.50,561.50,672,578.20,5.8
CLI,443.90,0.86,446.00,435.10,440.00,"18,558",440.10,3.8
CORBL,"1,065.00",3.9,"1,068.00","1,004.00","1,035.00","28,501","1,025.00",40
CREST,"1,189.00",-0.42,"1,253.70","1,160.00","1,253.70","6,706","1,194.00",-5
CSY,8.85,-1.88,9.20,8.82,9.00,"29,643",9.02,-0.17
CYCL,"1,280.00",-0.78,"1,308.00","1,280.00","1,282.00","1,208","1,290.00",-10
CZBIL,202.00,0,204.00,201.00,203.00,"26,917",202.00,0
CZBILP,100.00,0,100.00,100.00,100.00,"722,042",100.00,0
DDBL,829.00,-0.72,839.00,825.00,825.00,"3,294",835.00,-6
DHEL,584.90,1.55,584.90,566.00,575.00,"19,481",576.00,8.9
DHPL,290.00,-1.02,307.00,288.00,307.00,"1,477",293.00,-3
DLBS,"1,165.00",-1.45,"1,200.00","1,165.00","1,182.10",223,"1,182.10",-17.1
DOLTI,320.00,0,321.90,316.00,316.00,"6,821",320.00,0
DORDI,247.00,-2.76,254.00,247.00,251.00,"28,902",254.00,-7
EBL,723.00,-0.28,734.00,720.00,734.00,"23,131",725.00,-2
EBLD85,"1,060.00",-4.8,"1,113.40","1,113.40","1,113.40",2,"1,113.40",-53.4
ECL,"1,665.00",3.29,"1,711.00","1,532.00","1,532.00","31,215","1,612.00",53
EDBL,584.00,-0.66,586.00,575.00,575.00,"1,460",587.90,-3.9
EHPL,344.00,0,353.00,338.30,353.00,"5,513",344.00,0
ENL,799.90,1.13,800.00,785.10,791.00,160,791.00,8.9
FMDBL,781.00,3.03,786.00,753.00,758.00,"49,122",758.00,23
FOWAD,930.00,0.31,950.00,925.20,949.80,"3,506",927.10,2.9
GBBL,419.00,-0.48,422.00,418.00,419.10,"23,774",421.00,-2
GBIME,251.00,-0.52,253.70,250.00,252.30,"157,185",252.30,-1.3
GBIMESY2,9.11,-0.98,9.20,8.98,8.98,"8,000",9.20,-0.09
GBLBS,738.00,0.14,740.00,731.20,731.20,"1,327",737.00,1
GCIL,345.00,-1.43,350.00,345.00,350.00,"13,380",350.00,-5
GFCL,605.00,0.33,607.00,601.10,603.00,"5,011",603.00,2
GHL,228.00,-0.22,230.50,226.20,230.00,"48,820",228.50,-0.5
GIBF1,10.75,-2.09,10.75,10.70,10.70,"2,100",10.98,-0.23
GILB,"1,070.00",-1.83,"1,090.00","1,067.10","1,090.00",498,"1,090.00",-20
GLBSL,"1,795.90",-0.28,"1,801.00","1,772.00","1,801.00",279,"1,801.00",-5.1
GLH,256.90,-0.19,259.00,255.00,255.00,"15,144",257.40,-0.5
GMFBS,"1,154.00",-2.46,"1,218.00","1,150.00","1,218.00","1,933","1,183.10",-29.1
GMFIL,456.30,0.22,461.00,456.00,457.20,"5,395",455.30,1
GMLI,"1,105.00",0.09,"1,129.90","1,090.00","1,106.00","2,767","1,104.00",1
GRDBL,"1,049.00",0.11,"1,063.90","1,030.00","1,030.00","9,453","1,047.80",1.2
GSY,9.52,0.11,9.78,9.50,9.50,"56,540",9.51,0.01
GUFL,569.90,-1.04,576.00,565.10,570.00,"10,774",575.90,-6
GVL,482.00,0.37,484.00,476.00,479.00,"6,322",480.20,1.8
H8020,12.20,0,12.20,11.86,11.90,"3,900",12.20,0
HATHY,693.00,1.04,694.50,681.00,681.20,"4,014",685.90,7.1
HBL,194.80,-0.05,197.00,193.00,194.00,"33,399",194.90,-0.1
HDHPC,208.00,-0.91,210.70,208.00,210.00,"71,273",209.90,-1.9
HDL,"1,167.00",0,"1,175.00","1,165.10","1,170.00","12,427","1,167.00",0
HEI,534.00,-0.56,538.70,532.10,532.20,"2,186",537.00,-3
HEIP,332.00,-1.63,339.00,332.00,337.90,"3,160",337.50,-5.5
HFIN,699.00,-1.41,708.90,692.00,701.00,"21,761",709.00,-10
HHL,337.00,0.18,344.00,335.00,340.00,"8,753",336.40,0.6
HIDCL,254.00,-0.24,258.00,252.10,252.10,"20,564",254.60,-0.6
HIDCLP,187.50,-1.26,189.90,187.00,189.90,"54,196",189.90,-2.4
HIMSTAR,696.00,-1.69,707.80,690.00,696.00,"4,565",708.00,-12
HLBSL,870.00,-1.14,874.90,870.00,870.00,217,880.00,-10
HLI,319.70,-0.06,322.00,318.00,319.00,"14,437",319.90,-0.2
HLICF,8.94,5.18,8.95,8.25,8.25,"2,934",8.50,0.44
HPPL,380.00,-2.06,387.50,373.10,384.00,"165,076",388.00,-8
HRL,583.00,-0.17,604.30,580.00,604.30,"32,994",584.00,-1
HURJA,238.00,-0.46,239.80,237.00,238.00,"29,557",239.10,-1.1
ICFC,603.00,-0.33,605.00,600.00,601.10,"7,627",605.00,-2
ICFCD89,"1,092.00",0.18,"1,092.00","1,085.00","1,085.00",222,"1,090.00",2
IGI,430.00,0.23,432.00,427.00,429.00,"7,761",429.00,1
IHL,346.00,-0.57,353.00,345.10,348.00,"4,109",348.00,-2
ILBS,876.90,-0.24,886.00,860.00,878.90,"1,049",879.00,-2.1
ILI,412.40,0.29,414.00,409.00,409.00,"5,178",411.20,1.2
JBBL,340.00,-0.87,350.00,338.00,350.00,"31,771",343.00,-3
JBLB,"1,260.80",0.06,"1,268.00","1,255.00","1,260.10","2,340","1,260.00",0.8
JFL,384.50,-1.66,389.00,384.00,385.00,"6,409",391.00,-6.5
JHAPA,"1,090.00",-0.73,"1,096.90","1,065.00","1,086.00","4,949","1,098.00",-8
JOSHI,283.00,-0.35,289.00,280.20,288.00,"73,222",284.00,-1
JSLBB,980.00,-1.01,980.00,980.00,980.00,200,990.00,-10
KAHL,542.20,-2.22,555.00,537.20,554.50,"31,077",554.50,-12.3
KBL,215.00,-0.46,218.00,214.60,218.00,"187,087",216.00,-1
KBLD89,"1,275.00",0,"1,290.00","1,275.00","1,290.00","1,200","1,275.00",0
KBSH,980.00,1.03,997.00,950.00,950.00,"22,696",970.00,10
KDBY,11.09,-0.18,11.15,11.05,11.11,"29,060",11.11,-0.02
KDL,774.00,-0.77,780.00,766.20,780.00,567,780.00,-6
KEF,10.50,0,11.00,10.50,10.80,"127,690",10.50,0
KHPL,816.00,-0.24,830.00,802.00,810.00,"6,987",818.00,-2
KKHC,323.00,0.94,329.00,315.10,320.00,"425,658",320.00,3
KMCDB,777.00,2.21,780.00,760.00,771.80,"5,331",760.20,16.8
KPCL,468.00,-0.02,470.00,466.80,468.10,"3,501",468.10,-0.1
KSBBL,473.60,0.34,475.80,470.00,470.10,"14,143",472.00,1.6
KSY,9.52,0.21,9.53,9.23,9.23,"43,030",9.50,0.02
LBBL,491.90,0.18,492.00,486.00,486.00,"27,592",491.00,0.9
LBBLD89,"1,260.00",0.69,"1,260.00","1,260.00","1,260.00",50,"1,251.40",8.6
LEC,221.20,-1.25,235.20,220.00,235.20,"76,335",224.00,-2.8
LICN,774.90,-0.14,790.00,771.20,790.00,"1,328",776.00,-1.1
LLBS,885.00,-1.1,885.00,870.00,871.00,155,894.80,-9.8
LSH12,9.20,-1.6,9.20,8.85,9.07,"5,900",9.35,-0.15
LSL,220.20,-1.17,222.00,218.60,222.00,"58,669",222.80,-2.6
LUK,10.69,-0.09,10.69,10.69,10.69,"1,300",10.70,-0.01
